10520	Thumb Rock	Rock
10521	Rae, Point	Point
10522	Thumb Point	Point
10523	Thulla Point	Point
10524	Thulla Cove	Cove
10525	Thule Islands	Archipelago
10526	Juzhnyje Island	Island
10527	Marr Bay	Bay
10528	Obrecht Pyramid	Mount
10529	Store Point	Point
1053	Le Touquet-Paris-Plage	Commune
10530	Ives Tongue	Tongue
10531	Stopes Point	Point
10532	Stony Point	Point
10533	Hurst Bay	Bay
10534	Iwa-Zima	Island
10535	Obligado, cabo	Cape
10536	Obligado, península	Peninsula
10537	Hanka Island	Island
10538	Dakers Island	Island
10539	Trollkjelneset Headland	Headland
1054	Étaples	Commune
10540	Gaunt Rocks	Rock
10541	Kaino-hama Beach	Beach
10542	Fletta Bay	Bay
10543	Kainan Bay	Bay
10544	Troncoso, Punta	Point
10545	Tronador, punta	Point
10546	Shanty Point	Point
10547	Shallow Bay	Bay
10548	Shandong Bandao	Peninsula
10549	Markov, Cape	Cape
1055	Cucq	Commune
10550	Baldwin Point	Point
10551	Rayner Point	Point
10552	Siddons Point	Point
10553	Razdel''naja, otmel''	Bank
10554	Razlom Point	Point
10555	Razorback Islands	Archipelago
10556	Bald Head	Headland
10557	Balder Point	Point
10558	Sea Leopard Patch	Sea
10559	Gull Rock	Rock
1056	Tubersent	Commune
10560	Vstrech Island	Island
10561	Seabee Hook	Headland
10562	Collins Point	Point
10563	Collins Rock	Rock
10564	Collyer Island	Island
10565	Colón, caleta	Cove
10566	New World Point	Point
10567	New Plymouth	Bay
10568	New Rock	Rock
10569	New Harbor	Harbour
1057	Bréxent-Énocq	Commune
10570	Darnley, Cape	Cape
10571	New Bedford Inlet	Inlet
10572	Blythe Bay	Bay
10573	Suipacha, punta	Point
10574	Bob Island	Island
10575	Dart, Cape	Cape
10576	James, isla	Island
10577	Neves, punta	Point
10578	Wylie Bay	Bay
10579	Neupokoyev Bight	Bight
1058	Widehem	Commune
10580	Box Reef	Reef
10581	Boxing Island	Island
10582	Boy Point	Point
10583	Styles Strait	Strait
10584	Nevskaja, kotlovina	Basin
10585	Gerd Island	Island
10586	Hippo Island	Island
10587	Elliott Passage	Passage
10588	Gentile, islote	Island
10589	Diomedea Island	Island
1059	Bernieulles	Commune
10590	Gentile Point	Point
10591	Belgrano, arrecife	Island
10592	Edisto Rocks	Rock
10593	Lonely Rock	Rock
10594	Westwood Point	Point
10595	Bell Bay	Bay
10596	Géodésie, Cape	Cape
10597	Persson Island	Island
10598	Florence Island	Island
10599	Tay Head	Headland
106	Medway	Unitary Authority
1060	Hubersent	Commune
10600	Perry Bay	Bay
10601	Tuxen, Cape	Cape
10602	Swett, Isla	Island
10603	Sweeny Inlet	Inlet
10604	Taylor Islands	Archipelago
10605	Tiantang Wan	Bay
10606	Tianlong Bandao	Peninsula
10607	Tickell Head	Headland
10608	Coughtrey Peninsula	Peninsula
10609	Coria, caleta	Cove
1061	Estrée	Commune
10610	Corelli Trio	Archipelago
10611	Kaname Island	Island
10612	Tickle Channel	Channel
10613	Cornely, Cape	Cape
10614	Cormorant Island	Island
10615	Von Tunzelman Point	Point
10616	Armstrong Reef	Reef
10617	McConnel Islands	Archipelago
10618	Mezhgornaja, vpadina	Depression
10619	Armour Inlet	Inlet
1062	Recques-Sur-Course	Commune
10620	Armour Peninsula	Peninsula
10621	Voronina, buhta	Bay
10622	Dumoutier, Cape	Cape
10623	Luotuo Dao	Island
10624	Lunnyj Island	Island
10625	Bauprés Rocks	Rock
10626	Bermel Peninsula	Peninsula
10627	Bernacchi Bay	Bay
10628	Safety Island	Island
10629	Bernacchi, Cape	Cape
1063	Attin	Commune
10630	Sadler Point	Point
10631	Sáenz, Cape	Cape
10632	Berlioz Point	Point
10633	Spring Point	Cape
10634	Lamb, Cape	Cape
10635	Sprightly Island	Island
10636	Barilari Bay	Bay
10637	Bernal Islands	Archipelago
10638	Bernard Island	Island
10639	Elliott, Cape	Cape
1064	Inxent	Commune
10640	Gregory Point	Point
10641	Gremlin Island	Island
10642	Lee Island	Island
10643	Grey Island	Island
10644	Est, Passage	Passage
10645	Eta Island	Island
10646	Esteverena, bahía	Bay
10647	Esteverena, punta	Point
10648	Esther Harbour	Harbour
10649	Les Eclaireurs, punta	Point
1065	Enquin-les-Mines	Commune
10650	Hollin Island	Island
10651	Pear Island	Island
10652	Chapman Point	Point
10653	Tenorio Rock	Rock
10654	Pearl Rocks	Rock
10655	Tucumán, cabo	Cape
10656	Tucker Point	Point
10657	Tent Island	Island
10658	Hollick-Kenyon Peninsula	Peninsula
10659	Meek Channel	Channel
1066	Audincthun	Commune
10660	Holl Island	Island
10661	Laird, Cape	Cape
10662	Low Head	Headland
10663	Limit Rock	Rock
10664	Webb, Cape	Cape
10665	Framnes, Cape	Cape
10666	Daniel Island	Island
10667	Aomen Dao	Island
10668	Anvil Rock	Rock
10669	Flame Point	Point
1067	Enguinegatte	Commune
10670	Teliga Island	Island
10671	Mira, islote	Island
10672	Double Islands	Archipelago
10673	Hemphill Island	Island
10674	Keyhole Island	Island
10675	Backer Islands	Archipelago
10676	Cadena, punta	Point
10677	Douanier Rock	Rock
10678	Hut Cove	Cove
10679	Dostupnyj, mys	Cape
1068	Bomy	Commune
10680	Gravel Inlet	Inlet
10681	Flat Islands	Archipelago
10682	Lindbergh Inlet	Inlet
10683	Plata Passage	Passage
10684	Admiralty Sound	Sound
10685	Danger, Cape	Cape
10686	Plano, islote	Island
10687	Français Cove	Cove
10688	Ash Point	Point
10689	Lauritzen Bay	Bay
1069	Coyecques	Commune
10690	Franklin Island	Island
10691	Rozo Point	Point
10692	Kita Zima	Island
10693	Grinder Island	Island
10694	Vanssay Point	Point
10695	Rozas, Isla	Island
10696	Lautaro Island	Island
10697	Milovzorova, buhta	Bay
10698	Sturm Cove	Cove
10699	Varadero, Punta	Point
107	Swale	District
1070	Laires	Commune
10700	Varas, Punta	Point
10701	Kirkby Head	Headland
10702	Leroux Bay	Bay
10703	Campbell Head	Headland
10704	Kinzhal Bay	Bay
10705	Lanusse, cabo	Cape
10706	Kiridasi Misaki	Promontory
10707	Lugg Island	Island
10708	Mazza Point	Point
10709	Martin, Point	Point
1071	Renty	Commune
10710	Hljustina, mys	Cape
10711	Williwaw Rocks	Rock
10712	Garwood Point	Point
10713	Föhnhalbinsel	Archipelago
10714	Solomon Island	Island
10715	Epsilon Island	Island
10716	Johansen Islands	Archipelago
10717	Solstreif Island	Island
10718	Vardeflaket	Subglacial basin
10719	Elisabethinsel	Island
1072	Saint-Martin-d'Hardinghem	Commune
10720	Srednij, ostrov	Island
10721	Eliza Rocks	Rock
10722	Pata de perro, península	Peninsula
10723	Cox Reef	Reef
10724	Hummer Point	Point
10725	Kemp Land	General Region
10726	Morris Head	Headland
10727	Hump Passage	Passage
10728	Hummock Island	Island
10729	Hump Island	Island
1073	Fauquembergues	Commune
10730	Glasgal Island	Island
10731	Lachal Bluffs	Bluff
10732	Mule Peninsula	Peninsula
10733	Mule Point	Point
10734	Mule Island	Island
10735	Ingrid Christensen Coast	Coast
10736	Gutiérrez Reef	Reef
10737	Wilcock Bay	Bay
10738	Guttorm Jakobsenbukta	Bay
10739	Workman Rocks	Rock
1074	Beaumetz-lès-Aire	Commune
10740	Polar Sea, Cape	Cape
10741	Mascart, Cape	Cape
10742	Three Sisters Point	Point
10743	Woolpack Island	Island
10744	Tortue, Ilot de la	Island
10745	Exasperation Inlet	Inlet
10746	World''s End	Archipelago
10747	Varyag Island	Island
10748	Small Rock	Rock
10749	Vietor Rock	Rock
1075	Erny-Saint-Julien	Commune
10750	Kay Island	Island
10751	Rescapé Islands	Archipelago
10752	Epaves, Baie des	Bay
10753	Betzel Cove	Cove
10754	Knuckle Reef	Reef
10755	Ressac Island	Island
10756	Telefon Bay	Bay
10757	Diaz, islote	Island
10758	Small Island	Island
10759	Milnes Island	Island
1076	Merck-Saint-Liévin	Commune
10760	Fridtjof Island	Island
10761	Knuckey Island	Island
10762	Sandefjord Bay	Bay
10763	Sandefjord Cove	Cove
10764	Sandefjord Bay	Bay
10765	Cameron Island	Island
10766	Enterprise Island	Island
10767	McGrady Cove	Cove
10768	Sandercock Island	Island
10769	Hamburg Bay	Bay
1077	Febvin-Palfart	Commune
10770	Palermo, punta	Point
10771	Walden, Cape	Cape
10772	Palaver Point	Point
10773	Henderson Island	Island
10774	Gourlay Peninsula	Peninsula
10775	Livingston Island	Island
10776	Milosz Point	Point
10777	Akarui, Cape	Cape
10778	Garrochategui, cabo	Cape
10779	Cerda, punta	Point
1078	Thiembronne	Commune
10780	Gjertsen Promontory	Promontory
10781	Slava Ice Shelf	Shelf
10782	Slava, zaliv	Bay
10783	Reeve Island	Island
10784	Yemel''Yanov, Cape	Cape
10785	Yellow Point	Point
10786	Yelcho, Cape	Cape
10787	Yermak Point	Point
10788	Naka-zima	Island
10789	Fellow, Punta	Point
1079	Reclinghem	Commune
10790	Félicie Point	Point
10791	Porphyry Cove	Cove
10792	Hjort Fracture Zone	Fracture Zone
10793	Dawson Head	Headland
10794	Burney Point	Point
10795	Davydov, Cape	Cape
10796	Miró, punta	Point
10797	Burnett Island	Island
10798	Burnette Rock	Rock
10799	Joerg Peninsula	Peninsula
108	Shepway	District
1080	Dennebroeucq	Commune
10800	Prong Point	Point
10801	Charcot, Récif du	Reef
10802	Charcot Cove	Cove
10803	Charcot Bay	Bay
10804	Prominentes, islas	Archipelago
10805	Charcot, Cape	Cape
10806	Charcot Island	Island
10807	Clarence Island	Island
10808	Claquebue Island	Island
10809	Clark Island	Island
1081	Fléchin	Commune
10810	Clarie Coast	Coast
10811	Emona Anchorage	Anchorage
10812	Mechanics Bay	Bay
10813	Ross Dependency	Disputed Territory
10814	Orville Coast	Coast
10815	Nordenskjöld Coast	Coast
10816	Nordenskjöld Channel	Channel
10817	Kvinge Peninsula	Peninsula
10818	Maudbanken	Bank
10819	Orques, Chenal des	Channel
1082	Avroult	Commune
10820	Nomad Rock	Rock
10821	Nordenskjold Basin	Basin
10822	Nordbukta	Bay
10823	Orton Reef	Reef
10824	Noonan Cove	Cove
10825	Jorge Cove	Cove
10826	Brennan Point	Point
10827	Breton Island	Island
10828	Krylvika Bight	Bight
10829	Henryk Peak	Peak
1083	Senlis	Commune
10830	Dos Monjes, punta	Point
10831	Brewster Island	Island
10832	Intrusion Point	Point
10833	Dorsey Island	Island
10834	Rodman Cove	Cove
10835	Front Door Bay	Bay
10836	Barrier Cache	Point
10837	Casy Island	Island
10838	Castor, Ilot	Island
10839	Byrd Bay	Bay
1084	Lebiez	Commune
10840	Otter Passage	Passage
10841	Miller Bluffs	Bluff
10842	Frost Rocks	Rock
