id	resolution	upstream	target	note
TW-CHA	upstream	iso-3166-2-subdivisions		
TW-CYI	upstream	iso-3166-2-subdivisions		
TW-CYQ	upstream	iso-3166-2-subdivisions		
TW-HSQ	upstream	iso-3166-2-subdivisions		
TW-HSZ	upstream	iso-3166-2-subdivisions		
TW-HUA	upstream	iso-3166-2-subdivisions		
TW-ILA	upstream	iso-3166-2-subdivisions		
TW-KEE	upstream	iso-3166-2-subdivisions		
TW-KHH	upstream	iso-3166-2-subdivisions		
TW-KHQ	alias-symlink-superseded	wikidata-p1366	TW-KHH	superseded by current code
TW-KIN	upstream	iso-3166-2-subdivisions		
TW-LIE	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
TW-MIA	upstream	iso-3166-2-subdivisions		
TW-NAN	upstream	iso-3166-2-subdivisions		
TW-NWT	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
TW-PEN	upstream	iso-3166-2-subdivisions		
TW-PIF	upstream	iso-3166-2-subdivisions		
TW-TAO	upstream	iso-3166-2-subdivisions		
TW-TNN	upstream	iso-3166-2-subdivisions		
TW-TNQ	alias-symlink-superseded	wikidata-p1366	TW-TNN	superseded by current code
TW-TPE	upstream	iso-3166-2-subdivisions		
TW-TPQ	upstream	iso-3166-2-subdivisions		
TW-TTT	upstream	iso-3166-2-subdivisions		
TW-TXG	upstream	iso-3166-2-subdivisions		
TW-TXQ	alias-symlink-superseded	wikidata-p1366	TW-TXG	superseded by current code
TW-YUN	upstream	iso-3166-2-subdivisions		
TZ	upstream	iso-3166-1-countries		
TZ-01	upstream	iso-3166-2-subdivisions		
TZ-02	upstream	iso-3166-2-subdivisions		
TZ-03	upstream	iso-3166-2-subdivisions		
TZ-04	upstream	iso-3166-2-subdivisions		
TZ-05	upstream	iso-3166-2-subdivisions		
TZ-06	upstream	iso-3166-2-subdivisions		
TZ-07	upstream	iso-3166-2-subdivisions		
TZ-08	upstream	iso-3166-2-subdivisions		
TZ-09	upstream	iso-3166-2-subdivisions		
TZ-10	upstream	iso-3166-2-subdivisions		
TZ-11	upstream	iso-3166-2-subdivisions		
TZ-12	upstream	iso-3166-2-subdivisions		
TZ-13	upstream	iso-3166-2-subdivisions		
TZ-14	upstream	iso-3166-2-subdivisions		
TZ-15	upstream	iso-3166-2-subdivisions		
TZ-16	upstream	iso-3166-2-subdivisions		
TZ-17	upstream	iso-3166-2-subdivisions		
TZ-18	upstream	iso-3166-2-subdivisions		
TZ-19	upstream	iso-3166-2-subdivisions		
TZ-20	upstream	iso-3166-2-subdivisions		
TZ-21	upstream	iso-3166-2-subdivisions		
TZ-22	upstream	iso-3166-2-subdivisions		
TZ-23	upstream	iso-3166-2-subdivisions		
TZ-24	upstream	iso-3166-2-subdivisions		
TZ-25	upstream	iso-3166-2-subdivisions		
TZ-26	upstream	iso-3166-2-subdivisions		
TZ-27	upstream	iso-3166-2-subdivisions		
TZ-28	upstream	iso-3166-2-subdivisions		
TZ-29	upstream	iso-3166-2-subdivisions		
TZ-30	upstream	iso-3166-2-subdivisions		
TZ-31	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
UA	upstream	iso-3166-1-countries		
UA-05	upstream	iso-3166-2-subdivisions		
UA-07	upstream	iso-3166-2-subdivisions		
UA-09	upstream	iso-3166-2-subdivisions		
UA-12	upstream	iso-3166-2-subdivisions		
UA-14	upstream	iso-3166-2-subdivisions		
UA-18	upstream	iso-3166-2-subdivisions		
UA-21	upstream	iso-3166-2-subdivisions		
UA-23	upstream	iso-3166-2-subdivisions		
UA-26	upstream	iso-3166-2-subdivisions		
UA-30	upstream	iso-3166-2-subdivisions		
UA-32	upstream	iso-3166-2-subdivisions		
UA-35	upstream	iso-3166-2-subdivisions		
UA-40	upstream	iso-3166-2-subdivisions		
